family,task_id,context,question_count,f1,f1_std,cost,input_tokens,output_tokens
CodeAct,7,100,5.0,0.8851370851370851,0.09303767889930797,0.030316306,36385.159999999996,13128.28
CodeAct,7,500,5.0,0.3913650793650794,0.07733385461288593,0.029746194,129045.64,11070.52
CodeAct,8,100,2.0,0.7822843822843822,0.22001550489189706,0.03571154,49888.4,15309.0
CodeAct,8,500,2.0,0.07519189085809001,0.06529843530917925,0.02578411,126935.0,8275.9
CodeAct,9,100,4.0,0.7142406204906205,0.15006490345439602,0.030513477500000004,33043.35,13148.8
CodeAct,9,500,4.0,0.306789961246483,0.08973837833957993,0.0289620575,125007.75,9915.7
LLM,10,100,5.0,0.6927936507936509,0.048585079521690555,0.010841514,10509.8,5044.76
LLM,10,500,5.0,0.5297619047619048,0.026864815595056907,0.010890674000000001,51374.6,3636.12
LLM,10b,100,5.0,0.7431890331890332,0.022483333198928424,0.010218684,10494.0,4735.32
LLM,10b,500,5.0,0.47777777777777775,0.06392511050507789,0.01089827,51406.2,3642.88
LLM,13,100,1.0,0.7836080586080586,0.08451721149424786,0.02736346,11050.0,13291.2
LLM,13,500,1.0,0.00975609756097561,0.01951219512195122,0.00634996,50612.0,1352.8
LLM,14,100,1.0,0.24984051036682617,0.10431512089575931,0.01409354,10642.0,6626.6
LLM,14,500,1.0,0.004347826086956523,0.008695652173913045,0.0054944699999999996,52159.0,916.0
LLM,15,100,1.0,0.2827838827838828,0.1529960816172054,0.008442680000000001,10180.0,3631.4
LLM,15,500,1.0,0.09977589003671133,0.060765638099039954,0.01142899,51299.0,3898.6
LLM,17,100,1.0,0.6745021645021645,0.1302134279376635,0.02211419,11895.8,10048.2
LLM,17,500,1.0,0.1252154801720019,0.03796359630561428,0.01599439,53103.0,6128.6
LLM,18,100,1.0,0.2274990976125406,0.06162070941551984,0.01176891,10387.0,5519.2
LLM,18,500,1.0,0.018793744833287405,0.012136626948486488,0.0099305,51922.0,3140.6
LLM,20,100,1.0,0.7969696969696969,0.09647125684685831,0.02390215,9655.0,11608.2
LLM,20,500,1.0,0.0,0.0,0.00945177,49601.0,2984.0
LLM,21,100,1.0,0.895405179615706,0.029153231540771506,0.01615459,10171.0,7716.0
LLM,21,500,1.0,0.43681699150601666,0.05880764979901247,0.02499701,50157.0,10733.2
LLM,22,100,1.0,0.6,0.4898979485566356,0.00805564,10284.0,3652.4
LLM,22,500,1.0,0.0,0.0,0.00685688,49784.0,1675.2
LLM,23,100,1.0,0.8286868686868687,0.15522935757687467,0.01569522,10618.0,7465.0
LLM,23,500,1.0,0.24761904761904766,0.22008038111031133,0.025616840000000002,49924.0,11049.2
LLM,24,100,1.0,0.9555555555555556,0.0544331053951817,0.01252793,10586.6,5623.2
LLM,24,500,1.0,0.4285714285714286,0.11664236870396089,0.01383709,49523.4,4028.6
LLM,6,100,4.0,0.645,0.045825756949558386,0.014519915,10524.7,7048.85
LLM,6,500,4.0,0.20694805194805194,0.08783715133316991,0.0130774775,50339.75,4770.75
LLM,7,100,5.0,0.8244242424242424,0.031190859352905567,0.010003702,10465.56,4565.72
LLM,7,500,5.0,0.34223110223110226,0.05821648319190057,0.012492056,51231.2,4445.52
LLM,8,100,2.0,0.7160839160839161,0.057603087675263544,0.011606465,10506.5,5428.8
LLM,8,500,2.0,0.1922727272727273,0.09971557722792183,0.01389444,51948.0,5107.8
LLM,9,100,4.0,0.7043542568542569,0.13210841325577086,0.0121236225,10510.25,5623.55
LLM,9,500,4.0,0.32007437007437006,0.03273082698774009,0.0119354375,51267.75,4167.25
RLM,10,full,5.0,0.46657529874728976,0.056002459515507974,0.014624367999999999,24243.2,5719.48
RLM,10,100,5.0,0.6502095682095682,0.08365313864650095,0.017121378,36311.24,6700.76
RLM,10,500,5.0,0.7023184849240847,0.07158715830662232,0.016262868,30697.04,6437.599999999999
RLM,10b,full,5.0,0.30683769476940487,0.11511085172176601,0.019241085999999998,42691.64,7087.48
RLM,10b,100,5.0,0.7439005439005439,0.0938322558384252,0.020632183999999998,60069.28,7849.16
RLM,10b,500,5.0,0.6155983858189741,0.06292224312471592,0.021451146,43170.6,8550.24
RLM,13,full,1.0,1.0,0.0,0.00987568,34940.8,2476.8
RLM,13,100,1.0,1.0,0.0,0.00454956,8303.2,1795.6
RLM,13,500,1.0,1.0,0.0,0.00437423,8498.2,1706.6
RLM,14,full,1.0,1.0,0.0,0.01058972,26808.8,3190.8
RLM,14,100,1.0,1.0,0.0,0.00726123,13131.0,2657.4
RLM,14,500,1.0,1.0,0.0,0.00726887,12595.8,2774.2
RLM,15,full,1.0,1.0,0.0,0.00952532,23132.0,3247.8
RLM,15,100,1.0,1.0,0.0,0.00688688,13896.0,2633.8
RLM,15,500,1.0,1.0,0.0,0.00724476,11930.4,2862.6
RLM,17,full,1.0,0.7313987346714674,0.17885640143803463,0.01145848,23496.0,4137.2
RLM,17,100,1.0,0.7333333333333334,0.16929894128220166,0.00887588,15872.8,3669.2
RLM,17,500,1.0,0.5505542861525183,0.22301563824368334,0.0071781,11085.2,2894.6
RLM,18,full,1.0,0.5039885556110129,0.04201336508449783,0.0112685,23210.0,4057.8
RLM,18,100,1.0,0.5676680047754254,0.10127885131425551,0.015557590000000001,43887.0,5679.8
RLM,18,500,1.0,0.5752226756529188,0.06491034432713677,0.01056162,14502.8,4254.2
RLM,20,full,1.0,1.0,0.0,0.011865839999999999,31441.6,3877.6
RLM,20,100,1.0,1.0,0.0,0.00618614,11270.0,2335.2
RLM,20,500,1.0,1.0,0.0,0.00727516,14554.4,2679.4
RLM,21,full,1.0,1.0,0.0,0.00701926,21473.2,2046.6
RLM,21,100,1.0,1.0,0.0,0.005418409999999999,10605.8,2086.2
RLM,21,500,1.0,1.0,0.0,0.00546616,12008.0,2093.2
RLM,22,full,1.0,0.7436299988954558,0.24757229800890795,0.02262778,45288.4,8365.8
RLM,22,100,1.0,0.8818181818181818,0.12435323956777694,0.02930685,84912.2,11311.4
RLM,22,500,1.0,0.35569031811381874,0.3838136790181585,0.034286330000000004,77148.2,14158.2
RLM,23,full,1.0,0.984926727145848,0.007536636427076004,0.00889736,18761.6,3123.0
RLM,23,100,1.0,1.0,0.0,0.00686023,15253.4,2580.4
RLM,23,500,1.0,1.0,0.0,0.0072291199999999995,11760.0,2945.2
RLM,24,full,1.0,1.0,0.0,0.006321660000000001,11761.2,2364.6
RLM,24,100,1.0,1.0,0.0,0.005349469999999999,12270.2,2042.4
RLM,24,500,1.0,1.0,0.0,0.00636471,10874.2,2497.0
RLM,6,full,4.0,0.5032916034245802,0.005903884677411086,0.013877365,29966.9,4995.7
RLM,6,100,4.0,0.6877272727272727,0.014986985477428185,0.0197485525,62805.65,7494.85
RLM,6,500,4.0,0.6013785369522983,0.038452000987187485,0.01363552,26533.2,5374.55
RLM,7,full,5.0,0.7667174999187109,0.04572583271196521,0.015010568,26407.2,5973.28
RLM,7,100,5.0,0.8766810966810966,0.10383891323167156,0.016684382,38764.92,6597.76
RLM,7,500,5.0,0.9143867243867244,0.06186905666299527,0.012478234,22462.440000000002,5014.16
RLM,8,full,2.0,0.5859638662523181,0.21092751657328732,0.018938225,44728.9,7154.0
RLM,8,100,2.0,0.850140545728781,0.10605255529251484,0.01801088,34361.6,7207.2
RLM,8,500,2.0,0.7714275712662809,0.1192620294577778,0.015309920000000001,21317.6,6467.7
RLM,9,full,4.0,0.5780735409866716,0.1445688940395706,0.02249135,55359.8,8256.9
RLM,9,100,4.0,0.7394534632034633,0.09144344654478755,0.014453375000000001,30519.9,5730.1
RLM,9,500,4.0,0.7095306381896771,0.11443372469682134,0.022159579999999998,65528.8,8384.45
