family,task_number,model_name,context_size,question_count,f1,cost_per_sample_usd,input_tokens_per_sample,output_tokens_per_sample
LLM,5,openai/gpt-5-mini,500,4.0,0.0,0.0021119625,50454.25,376.0
LLM,5,openai/gpt-5-mini,500,4.0,0.0,0.0020949625,50454.25,367.5
LLM,5,openai/gpt-5-mini,500,4.0,0.0,0.0022609625,50454.25,450.5
LLM,5,openai/gpt-5-mini,500,4.0,0.0,0.0134280625,50454.25,407.25
LLM,5,openai/gpt-5-mini,100,4.0,0.0,0.0057809375,10357.75,2729.75
LLM,5,openai/gpt-5-mini,100,4.0,0.0,0.0033209375,10357.75,1499.75
LLM,5,openai/gpt-5-mini,100,4.0,0.0,0.0017989375000000002,10357.75,738.75
LLM,5,openai/gpt-5-mini,100,4.0,0.0,0.0024709375,10357.75,1074.75
LLM,5,openai/gpt-5-mini,100,4.0,0.0,0.0039734375,10357.75,692.0
CodeAct,2,openai/gpt-5-mini,100,6.0,0.6666666666666666,0.02449156666666667,30199.333333333332,9447.666666666666
CodeAct,2,openai/gpt-5-mini,500,6.0,0.16948284690220175,0.02131805,91103.66666666669,8844.666666666666
CodeAct,2,openai/gpt-5-mini,500,6.0,0.44492938109959385,0.055097375,185594.83333333337,18173.333333333332
CodeAct,2,openai/gpt-5-mini,500,6.0,0.2926456652312667,0.023360608333333335,110963.5,9334.666666666666
CodeAct,2,openai/gpt-5-mini,500,6.0,0.3622707835036602,0.035264833333333336,129976.66666666669,14405.333333333334
CodeAct,2,openai/gpt-5-mini,500,6.0,0.19973544973544977,0.04293360833333334,194558.16666666663,8959.833333333334
CodeAct,2,openai/gpt-5-mini,100,6.0,0.8333333333333334,0.02622033333333333,28738.666666666668,11701.833333333334
CodeAct,2,openai/gpt-5-mini,100,6.0,1.0,0.028010383333333333,31761.0,12408.666666666666
CodeAct,2,openai/gpt-5-mini,100,6.0,1.0,0.029216966666666667,33322.0,12816.833333333334
CodeAct,2,openai/gpt-5-mini,100,6.0,0.9111111111111112,0.029152025,37283.833333333336,12920.333333333334
CodeAct,3,openai/gpt-5-mini,500,5.0,0.22415617062675888,0.026476310000000003,113824.6,10628.0
CodeAct,3,openai/gpt-5-mini,500,5.0,0.08636200716845878,0.02558677,107867.4,6288.2
CodeAct,3,openai/gpt-5-mini,500,5.0,0.0845208413246388,0.037187929999999994,132538.6,14286.8
CodeAct,3,openai/gpt-5-mini,500,5.0,0.2599374549556607,0.03273365,104649.8,13711.2
CodeAct,3,openai/gpt-5-mini,500,5.0,0.1959903381642512,0.04219268,90594.4,13305.8
CodeAct,3,openai/gpt-5-mini,100,5.0,0.6166666666666666,0.0243822,22631.2,11176.6
CodeAct,3,openai/gpt-5-mini,100,5.0,0.7411764705882353,0.02758386,26069.2,12575.2
CodeAct,3,openai/gpt-5-mini,100,5.0,0.993939393939394,0.02581697,31068.2,11294.4
CodeAct,3,openai/gpt-5-mini,100,5.0,0.9874877810361682,0.02552207,31023.0,11152.6
CodeAct,3,openai/gpt-5-mini,100,5.0,0.9874877810361682,0.02701343,31071.0,11212.6
CodeAct,4,openai/gpt-5-mini,500,5.0,0.225,0.03521312,118873.6,15010.4
CodeAct,4,openai/gpt-5-mini,500,5.0,0.2,0.03138091999999999,143440.8,12457.0
CodeAct,4,openai/gpt-5-mini,500,5.0,0.225,0.01968189,122457.8,7439.0
CodeAct,4,openai/gpt-5-mini,500,5.0,0.2,0.03723852,127538.4,15487.2
CodeAct,4,openai/gpt-5-mini,500,5.0,0.2129032258064516,0.04239742,140822.0,13281.4
CodeAct,4,openai/gpt-5-mini,100,5.0,0.8,0.02633387,28819.0,11704.4
CodeAct,4,openai/gpt-5-mini,100,5.0,1.0,0.02624368,32774.4,11392.4
CodeAct,4,openai/gpt-5-mini,100,5.0,0.8,0.02726664,33155.2,11882.2
CodeAct,4,openai/gpt-5-mini,100,5.0,1.0,0.02821363,33419.0,12296.8
CodeAct,4,openai/gpt-5-mini,100,5.0,1.0,0.03446569,32618.6,14339.2
CodeAct,5,openai/gpt-5-mini,500,4.0,0.2357843137254902,0.0182135,92710.0,7400.0
CodeAct,5,openai/gpt-5-mini,500,4.0,0.5322344322344322,0.029360075,112487.5,11937.5
CodeAct,5,openai/gpt-5-mini,500,4.0,0.27589285714285716,0.0169381875,106796.75,6495.5
CodeAct,5,openai/gpt-5-mini,500,4.0,0.2961309523809524,0.0235320875,108734.75,8085.0
CodeAct,5,openai/gpt-5-mini,500,4.0,0.385741341991342,0.0367474,123428.0,10066.0
CodeAct,5,openai/gpt-5-mini,100,4.0,1.0,0.0266175375,31869.75,11600.25
CodeAct,5,openai/gpt-5-mini,100,4.0,0.75,0.026469525,26514.5,11911.25
CodeAct,5,openai/gpt-5-mini,100,4.0,1.0,0.0268666,31836.0,11729.0
CodeAct,5,openai/gpt-5-mini,100,4.0,1.0,0.027897912500000004,32591.25,12150.25
CodeAct,5,openai/gpt-5-mini,100,4.0,0.75,0.027319875,26067.5,11481.5
RLM,2,openai/gpt-5-mini,-1,6.0,1.0,0.008664708333333332,25174.833333333332,2793.5
RLM,2,openai/gpt-5-mini,-1,6.0,1.0,0.008876483333333332,26927.0,2649.1666666666665
RLM,2,openai/gpt-5-mini,-1,6.0,1.0,0.006631608333333334,15754.166666666666,2347.3333333333335
RLM,2,openai/gpt-5-mini,-1,6.0,1.0,0.007074933333333334,17026.666666666668,2364.3333333333335
RLM,2,openai/gpt-5-mini,-1,6.0,1.0,0.007629908333333333,20910.833333333332,2367.5
RLM,2,openai/gpt-5-mini,500,6.0,1.0,0.005142433333333333,10348.666666666666,2028.8333333333333
RLM,2,openai/gpt-5-mini,500,6.0,1.0,0.007194083333333333,14941.666666666666,2785.3333333333335
RLM,2,openai/gpt-5-mini,500,6.0,1.0,0.005805166666666667,13850.0,2203.3333333333335
RLM,2,openai/gpt-5-mini,500,6.0,1.0,0.0050833499999999995,14468.333333333334,1808.3333333333333
RLM,2,openai/gpt-5-mini,500,6.0,1.0,0.006164283333333334,11609.666666666666,2293.3333333333335
RLM,2,openai/gpt-5-mini,100,6.0,1.0,0.005394458333333334,14221.833333333334,2011.5
RLM,2,openai/gpt-5-mini,100,6.0,1.0,0.005081625,11238.5,1952.0
RLM,2,openai/gpt-5-mini,100,6.0,1.0,0.005398941666666666,12888.833333333334,2053.1666666666665
RLM,2,openai/gpt-5-mini,100,6.0,1.0,0.005581958333333334,16579.833333333332,1714.5
RLM,2,openai/gpt-5-mini,100,6.0,1.0,0.0048229166666666655,13962.333333333334,1626.1666666666667
RLM,3,openai/gpt-5-mini,-1,5.0,0.9991398198490626,0.01147784,24302.4,4086.4
RLM,3,openai/gpt-5-mini,-1,5.0,1.0,0.00885085,27209.8,2536.2
RLM,3,openai/gpt-5-mini,-1,5.0,1.0,0.01109971,33137.4,3233.6
RLM,3,openai/gpt-5-mini,-1,5.0,1.0,0.007160069999999999,21187.8,2164.2
RLM,3,openai/gpt-5-mini,-1,5.0,1.0,0.00924768,27675.2,2595.8
RLM,3,openai/gpt-5-mini,500,5.0,1.0,0.00531097,16274.6,1882.6
RLM,3,openai/gpt-5-mini,500,5.0,1.0,0.0057585200000000005,12015.2,2149.2
RLM,3,openai/gpt-5-mini,500,5.0,1.0,0.00540155,14398.2,1894.6
RLM,3,openai/gpt-5-mini,500,5.0,1.0,0.004913809999999999,14019.4,1752.8
RLM,3,openai/gpt-5-mini,500,5.0,1.0,0.01053949,36947.4,3678.2
RLM,3,openai/gpt-5-mini,100,5.0,1.0,0.004837900000000001,11199.6,1782.2
RLM,3,openai/gpt-5-mini,100,5.0,1.0,0.00493467,11719.8,1889.4
RLM,3,openai/gpt-5-mini,100,5.0,1.0,0.00428766,9234.8,1634.6
RLM,3,openai/gpt-5-mini,100,5.0,1.0,0.00382078,7092.4,1548.0
RLM,3,openai/gpt-5-mini,100,5.0,1.0,0.00456105,10317.8,1739.6
RLM,4,openai/gpt-5-mini,-1,5.0,1.0,0.005726036000000001,12158.8,2196.8
RLM,4,openai/gpt-5-mini,-1,5.0,1.0,0.00635935,17205.4,2123.4
RLM,4,openai/gpt-5-mini,-1,5.0,1.0,0.0057853,15187.6,1915.8
RLM,4,openai/gpt-5-mini,-1,5.0,1.0,0.005433,14597.6,1813.4
RLM,4,openai/gpt-5-mini,-1,5.0,1.0,0.00565128,15838.4,1845.2
RLM,4,openai/gpt-5-mini,500,5.0,1.0,0.004245919999999999,9097.6,1671.2
RLM,4,openai/gpt-5-mini,500,5.0,1.0,0.00478698,11528.4,1764.6
RLM,4,openai/gpt-5-mini,500,5.0,1.0,0.00450816,10041.6,1730.4
RLM,4,openai/gpt-5-mini,500,5.0,1.0,0.004810279999999999,9648.8,1867.2
RLM,4,openai/gpt-5-mini,500,5.0,1.0,0.00396549,8187.4,1408.6
RLM,4,openai/gpt-5-mini,100,5.0,1.0,0.00474996,11850.4,1711.6
RLM,4,openai/gpt-5-mini,100,5.0,1.0,0.00441596,13711.2,1556.8
RLM,4,openai/gpt-5-mini,100,5.0,1.0,0.00491186,12003.6,1773.4
RLM,4,openai/gpt-5-mini,100,5.0,1.0,0.0052621199999999995,14279.2,1877.2
RLM,4,openai/gpt-5-mini,100,5.0,1.0,0.0041890899999999995,10190.6,1529.2
RLM,5,openai/gpt-5-mini,-1,4.0,1.0,0.0093125375,28769.75,2503.25
RLM,5,openai/gpt-5-mini,-1,4.0,1.0,0.00735815,22289.0,2353.75
RLM,5,openai/gpt-5-mini,-1,4.0,1.0,0.0073213775,19915.75,2188.5
RLM,5,openai/gpt-5-mini,-1,4.0,1.0,0.0065438775,19885.75,2067.5
RLM,5,openai/gpt-5-mini,-1,4.0,1.0,0.0091543325,28175.25,2473.5
RLM,5,openai/gpt-5-mini,500,4.0,1.0,0.005826912500000001,14305.25,2212.5
RLM,5,openai/gpt-5-mini,500,4.0,1.0,0.005048912500000001,11613.25,1836.0
RLM,5,openai/gpt-5-mini,500,4.0,1.0,0.0054865125,13793.25,2077.5
RLM,5,openai/gpt-5-mini,500,4.0,1.0,0.0055769125,14971.25,1878.25
RLM,5,openai/gpt-5-mini,500,4.0,1.0,0.0059691625,15614.25,2066.0
RLM,5,openai/gpt-5-mini,100,4.0,1.0,0.0055660725,15549.25,2002.5
RLM,5,openai/gpt-5-mini,100,4.0,1.0,0.005998485,13770.5,2322.25
RLM,5,openai/gpt-5-mini,100,4.0,1.0,0.0052012725,18639.25,1680.25
RLM,5,openai/gpt-5-mini,100,4.0,1.0,0.0059448025,15000.25,2192.25
RLM,5,openai/gpt-5-mini,100,4.0,1.0,0.0052699875,13502.75,1850.75
