project,task_family,task_number,model_name,context_size,run_id,run_name,created_at,sample_count,samples_with_cost,total_cost_usd,avg_cost_per_sample_usd
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,100,0xj0o4m3,olive-music-9,2026-04-22T21:48:23Z,4,4,0.0798123,0.019953075
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,100,2h5u7gaa,giddy-salad-10,2026-04-22T21:53:54Z,4,4,0.07933155,0.0198328875
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,500,i9niso8i,zany-lake-11,2026-04-25T00:43:49Z,4,4,0.2574887,0.064372175
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,500,cu4ow8h1,exalted-sky-12,2026-04-25T00:52:55Z,4,4,0.2369261,0.059231525
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,500,qba6p87r,stellar-vortex-13,2026-04-25T01:02:27Z,4,4,0.26886840000000006,0.06721710000000002
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,500,7sr3n9l6,gentle-frost-14,2026-04-25T01:10:49Z,4,4,0.2203663,0.055091575
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,500,2ccj0juy,daily-wind-15,2026-04-25T01:20:15Z,4,4,0.27504744999999997,0.06876186249999999
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,8j91c04v,spring-vortex-1,2026-04-20T15:56:29Z,5,5,0.27413465,0.05482693
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,7iyj97nf,lively-night-3,2026-04-20T16:51:10Z,5,5,0.3193052,0.06386104000000001
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,mj62mjpn,charmed-butterfly-5,2026-04-20T19:32:54Z,5,5,0.3896720500000001,0.07793441000000001
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,ihm00hp5,spring-disco-7,2026-04-20T22:04:24Z,5,5,0.3138056,0.06276112
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,sk9dtavr,swept-dream-9,2026-04-21T08:30:06Z,5,5,0.33555285,0.06711057000000001
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,500,zn8gd1m4,dainty-music-29,2026-04-25T06:37:24Z,5,5,0.2799478,0.05598956000000001
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,500,lmwywnwe,sweet-sponge-31,2026-04-25T07:33:38Z,5,5,0.34605805,0.06921161
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,500,2othp04s,treasured-meadow-33,2026-04-25T08:59:20Z,5,5,0.1637276,0.03274552
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,500,0evrmc7m,efficient-waterfall-34,2026-04-25T09:14:36Z,5,5,0.12761874999999998,0.02552374999999999
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,500,62qk3nzw,spring-plasma-35,2026-04-25T09:24:26Z,5,5,0.1685967,0.03371934
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,100,qumu5a5t,zany-mountain-10,2026-04-22T12:36:52Z,5,5,0.15950875,0.03190175
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,100,x0hkdyi1,peachy-serenity-12,2026-04-22T13:00:39Z,5,5,0.15753195,0.03150639
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,100,3vzumqhp,scarlet-disco-13,2026-04-22T13:16:18Z,5,5,0.09598995,0.01919799
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,100,986ibd3u,dry-cosmos-16,2026-04-22T13:43:56Z,5,5,0.13202009999999997,0.026404019999999993
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,100,70xjbe93,hopeful-water-20,2026-04-22T18:54:55Z,5,5,0.1472815,0.0294563
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,500,5xlymr1e,ancient-shadow-22,2026-04-24T13:48:12Z,5,5,0.3930254999999999,0.07860509999999998
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,500,1mwekrnr,rural-field-25,2026-04-24T21:40:53Z,5,5,0.3697593,0.07395186000000001
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,500,rk4kxzv1,major-river-26,2026-04-24T21:54:52Z,5,5,0.33148205,0.06629641
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,500,iac0tbx5,curious-frog-27,2026-04-24T22:11:07Z,5,5,0.4391946000000001,0.08783892000000001
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,500,3ovptvov,spring-gorge-28,2026-04-24T22:26:29Z,5,5,0.3779477,0.07558954
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,100,9m2439e3,toasty-meadow-4,2026-04-20T19:45:03Z,6,6,0.39690914999999993,0.06615152499999999
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,100,ca7q5cbd,hardy-flower-5,2026-04-20T22:40:57Z,6,6,0.3544503,0.05907505
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,100,ht2hfxff,dashing-deluge-7,2026-04-20T23:29:14Z,6,6,0.41662605,0.069437675
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,100,4w9doit2,dry-monkey-8,2026-04-21T00:16:57Z,6,6,0.4104018,0.06840030000000001
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,100,vw8tinmi,dazzling-brook-9,2026-04-21T08:00:55Z,6,6,0.3653458,0.060890966666666664
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,500,vlgbjw3s,warm-armadillo-24,2026-04-25T09:36:11Z,6,6,0.3193303,0.05322171666666667
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,500,hnffj0gv,solar-firefly-25,2026-04-25T09:54:22Z,6,6,0.22817135,0.03802855833333333
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,500,0imine0j,soft-eon-26,2026-04-25T10:14:34Z,6,6,0.16785255000000002,0.027975425
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,500,6pc8lqmx,prime-terrain-27,2026-04-25T10:33:01Z,6,6,0.34725115,0.057875191666666666
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,500,0i19wfd4,glowing-sound-28,2026-04-25T11:13:15Z,6,6,0.31417025,0.05236170833333333
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,100,ovqpqzw0,avid-fog-11,2026-04-22T14:24:25Z,6,6,0.1938887,0.03231478333333334
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,100,2rc57kse,crisp-breeze-12,2026-04-22T14:39:48Z,6,6,0.2269522,0.037825366666666665
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,100,03hmvukj,radiant-pine-14,2026-04-22T15:04:53Z,6,6,0.17342075,0.028903458333333337
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,100,85pc9mwh,dark-pond-16,2026-04-22T19:11:26Z,6,6,0.14864785,0.024774641666666663
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,100,bh1trpgc,toasty-donkey-17,2026-04-22T19:35:27Z,6,6,0.25707715,0.042846191666666665
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,500,7vxyu1vr,dutiful-leaf-19,2026-04-24T15:19:36Z,6,6,0.5423778,0.0903963
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,500,iazrcfdz,dark-deluge-20,2026-04-24T22:41:43Z,6,6,0.42666225,0.071110375
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,500,lymzudv5,frosty-eon-21,2026-04-24T23:00:27Z,6,6,0.49039610000000006,0.08173268333333335
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,500,d1sp6bzl,glad-feather-22,2026-04-24T23:19:44Z,6,6,0.51646405,0.08607734166666665
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,500,t514jhdv,copper-leaf-23,2026-04-24T23:38:21Z,6,6,0.40774949999999993,0.06795824999999998
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,100,luaaknta,toasty-music-1,2026-04-21T07:50:57Z,4,4,0.20319855,0.0507996375
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,100,hmn0bh5o,rural-sea-2,2026-04-21T08:30:04Z,4,4,0.15583665,0.0389591625
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,100,p2uy9l9v,prime-pine-3,2026-04-21T08:42:00Z,4,4,0.19311425,0.0482785625
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,100,ntsi4wt2,resilient-armadillo-7,2026-04-21T10:17:08Z,4,4,0.20473905,0.0511847625
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,100,e75k95fi,dauntless-paper-8,2026-04-21T10:36:36Z,4,4,0.19400955,0.0485023875
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,500,1zyfghcm,firm-plasma-23,2026-04-25T06:36:51Z,4,4,0.1946744,0.0486686
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,500,36s8uapw,polar-water-24,2026-04-25T06:51:55Z,4,4,0.1042804,0.0260701
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,500,y1j4baqn,true-snow-25,2026-04-25T07:01:16Z,4,4,0.0805743,0.020143575
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,500,kfql40o8,treasured-armadillo-26,2026-04-25T07:08:14Z,4,4,0.131977,0.03299425
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,500,qouay5ns,proud-fire-27,2026-04-25T07:18:13Z,4,4,0.0866536,0.0216634
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,100,cjhclo0l,pious-pine-12,2026-04-22T15:48:34Z,4,4,0.20291415,0.0507285375
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,100,zc5kdnjm,eager-capybara-13,2026-04-22T16:06:23Z,4,4,0.1274245,0.031856125
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,100,o6abcke1,olive-water-14,2026-04-22T20:05:57Z,4,4,0.2273735,0.056843374999999995
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,100,lcosl6jd,pleasant-glade-15,2026-04-22T20:38:13Z,4,4,0.14991464999999998,0.0374786625
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,100,109l4y3r,winter-planet-17,2026-04-22T21:24:16Z,4,4,0.1349047,0.033726175
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,500,b0d6qo9v,visionary-dust-18,2026-04-24T22:00:42Z,4,4,0.3205708,0.0801427
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,500,4dobymi9,faithful-thunder-19,2026-04-24T22:16:59Z,4,4,0.25467765,0.0636694125
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,500,wwsix5c9,jolly-donkey-20,2026-04-24T22:29:14Z,4,4,0.34286964999999997,0.08571741249999999
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,500,r0w6j0c2,solar-voice-21,2026-04-24T22:43:57Z,4,4,0.31572085,0.0789302125
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,500,mh7l99tf,divine-dragon-22,2026-04-24T22:59:37Z,4,4,0.36136225,0.0903405625
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,100,9o6kfnbe,breezy-oath-1,2026-04-21T11:07:42Z,5,5,0.197941,0.0395882
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,100,0fnudr21,confused-pyramid-2,2026-04-21T11:32:15Z,5,5,0.12452454999999998,0.024904909999999995
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,100,g3jd3z68,amber-disco-3,2026-04-21T11:42:53Z,5,5,0.1919788,0.03839576
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,100,g07b54g2,daily-star-5,2026-04-21T12:22:53Z,5,5,0.20060825,0.040121649999999995
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,100,6msclcya,decent-field-6,2026-04-21T12:50:12Z,5,5,0.22339045,0.04467809
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,500,qs9k9j23,cosmic-eon-18,2026-04-25T07:25:40Z,5,5,0.14653,0.029306
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,500,8a6hl4lg,fearless-puddle-20,2026-04-25T13:05:05Z,5,5,0.1873141,0.037462819999999994
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,500,8n5n17nf,stellar-breeze-23,2026-04-25T15:53:35Z,5,5,0.16037764999999998,0.03207553
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,500,i3ukctr6,peachy-pine-24,2026-04-25T16:03:27Z,5,5,0.0750266,0.01500532
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,100,97j9zomu,decent-violet-7,2026-04-22T21:00:03Z,5,5,0.26115955,0.052231910000000006
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,100,uyc9d6yd,floral-universe-8,2026-04-22T21:21:27Z,5,5,0.2475326,0.049506520000000005
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,100,dxpeuoyy,charmed-paper-10,2026-04-22T21:53:04Z,5,5,0.23699655,0.04739931
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,100,xdrg8562,lyric-lake-11,2026-04-22T22:13:01Z,5,5,0.156448,0.0312896
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,100,s7sm1les,efficient-voice-12,2026-04-23T07:39:07Z,5,5,0.2348798,0.04697596
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,500,gwb9wlw3,stoic-dawn-13,2026-04-24T23:15:59Z,5,5,0.37391735,0.07478347
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,500,w787tuyr,daily-tree-14,2026-04-24T23:33:37Z,5,5,0.34948915,0.06989783000000001
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,500,xxi4ties,devout-dust-15,2026-04-24T23:51:36Z,5,5,0.33940505,0.06788100999999999
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,500,kt3bls9q,blooming-glade-16,2026-04-25T00:10:43Z,5,5,0.41777455,0.08355491
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,500,qg64wyb0,stoic-universe-17,2026-04-25T00:29:56Z,5,5,0.3975808,0.07951616
RLMs-Task10,RLMs,10,openai/gpt-5-mini,0,06i3gd3e,treasured-haze-1,2026-04-14T14:51:03Z,4,4,0.04248325,0.0106208125
RLMs-Task10,RLMs,10,openai/gpt-5-mini,0,mt0dznod,sandy-wind-2,2026-04-14T15:02:58Z,4,4,0.06045840000000001,0.015114600000000002
RLMs-Task10,RLMs,10,openai/gpt-5-mini,0,p6kt0ebr,stoic-wave-3,2026-04-14T16:03:07Z,4,4,0.04973245,0.0124331125
RLMs-Task10,RLMs,10,openai/gpt-5-mini,0,4rgysdd8,giddy-tree-4,2026-04-19T13:56:26Z,4,4,0.02489265,0.006223162500000001
RLMs-Task10,RLMs,10,openai/gpt-5-mini,0,lthhknoo,balmy-waterfall-6,2026-04-19T15:36:58Z,4,4,0.0325796,0.0081449
RLMs-Task10,RLMs,10,x-ai/grok-4-fast,0,ufui4jdx,drawn-microwave-8,2026-04-21T08:45:44Z,4,4,1.7266855499999998,0.4316713874999999
RLMs-Task10,RLMs,10,x-ai/grok-4-fast,0,ywds5dx4,lemon-tree-12,2026-04-21T09:10:36Z,4,4,0.0817267,0.020431675
RLMs-Task10,RLMs,10,x-ai/grok-4-fast,0,w8v1afuo,valiant-surf-13,2026-04-21T09:19:07Z,4,4,0.04609340000000001,0.011523350000000002
RLMs-Task10,RLMs,10,x-ai/grok-4-fast,0,xdpopoyw,leafy-brook-15,2026-04-21T09:31:45Z,4,4,0.01472665,0.0036816625
RLMs-Task10,RLMs,10,x-ai/grok-4-fast,0,zmavaio1,earthy-glitter-16,2026-04-21T10:10:17Z,2,2,0.010967250000000001,0.005483625000000001
RLMs-Task6,RLMs,6,openai/gpt-5-mini,0,tdp4v0hs,blooming-totem-18,2026-04-13T08:06:11Z,5,5,0.19246935,0.03849387
RLMs-Task6,RLMs,6,openai/gpt-5-mini,0,ynb4cdjc,giddy-plant-19,2026-04-13T08:36:07Z,5,5,0.13940305,0.02788061
RLMs-Task6,RLMs,6,openai/gpt-5-mini,0,lhfutsuj,splendid-leaf-20,2026-04-13T08:59:35Z,5,5,0.16685689999999995,0.03337137999999999
RLMs-Task6,RLMs,6,openai/gpt-5-mini,0,e4lx0ttt,faithful-glitter-23,2026-04-19T11:27:03Z,5,5,0.14783835,0.02956767
RLMs-Task6,RLMs,6,openai/gpt-5-mini,0,n8slehmh,apricot-river-24,2026-04-19T11:49:17Z,5,5,0.1620138,0.03240276
RLMs-Task6,RLMs,6,x-ai/grok-4-fast,0,w8xxk35n,comic-forest-25,2026-04-20T17:02:45Z,5,5,0.1001505,0.0200301
RLMs-Task6,RLMs,6,x-ai/grok-4-fast,0,0xgy8jco,avid-shape-26,2026-04-20T17:19:32Z,5,5,0.0973781,0.01947562
RLMs-Task6,RLMs,6,x-ai/grok-4-fast,0,6127z4q3,silvery-mountain-27,2026-04-20T17:33:37Z,5,5,0.1492749,0.029854979999999996
RLMs-Task6,RLMs,6,x-ai/grok-4-fast,0,gw3vwhym,radiant-sea-28,2026-04-20T19:57:45Z,5,5,0.14055955,0.02811191
RLMs-Task6,RLMs,6,x-ai/grok-4-fast,0,kezqsb1f,snowy-dust-29,2026-04-20T20:19:35Z,5,5,0.15893485,0.03178697
RLMs-Task7,RLMs,7,openai/gpt-5-mini,0,48tk0op4,dutiful-breeze-3,2026-04-13T11:27:04Z,6,6,0.19061275,0.031768791666666664
RLMs-Task7,RLMs,7,openai/gpt-5-mini,0,bxnz9ctb,eternal-water-4,2026-04-13T11:55:36Z,6,6,0.13981725,0.023302875
RLMs-Task7,RLMs,7,openai/gpt-5-mini,0,xlzpixtu,different-waterfall-5,2026-04-13T12:23:47Z,6,6,0.19546980000000003,0.032578300000000004
RLMs-Task7,RLMs,7,openai/gpt-5-mini,0,9hkelzlr,upbeat-snowball-6,2026-04-19T11:50:18Z,6,6,0.13860035,0.023100058333333336
RLMs-Task7,RLMs,7,openai/gpt-5-mini,0,bgbaffof,clear-deluge-7,2026-04-19T12:12:58Z,6,6,0.12290945,0.020484908333333333
RLMs-Task7,RLMs,7,x-ai/grok-4-fast,0,92roq66w,astral-field-9,2026-04-20T18:14:43Z,6,6,0.20109404999999997,0.033515674999999995
RLMs-Task7,RLMs,7,x-ai/grok-4-fast,0,70eofzzb,icy-waterfall-10,2026-04-20T18:45:27Z,6,6,0.08747259999999998,0.014578766666666665
RLMs-Task7,RLMs,7,x-ai/grok-4-fast,0,l8xdwfnb,earnest-blaze-11,2026-04-20T20:42:40Z,6,6,0.08990475,0.014984125
RLMs-Task7,RLMs,7,x-ai/grok-4-fast,0,uwm5m0v7,dandy-fire-12,2026-04-20T20:56:58Z,6,6,0.076278,0.012713
RLMs-Task7,RLMs,7,x-ai/grok-4-fast,0,f8r80hn4,denim-paper-14,2026-04-21T07:32:43Z,6,6,0.1807359,0.030122649999999997
RLMs-Task8,RLMs,8,openai/gpt-5-mini,0,o3f3u4mo,sunny-snowball-5,2026-04-13T13:54:09Z,4,4,0.109326,0.0273315
RLMs-Task8,RLMs,8,openai/gpt-5-mini,0,zyiqdd1w,polar-jazz-7,2026-04-13T14:31:22Z,4,4,0.12835504999999997,0.03208876249999999
RLMs-Task8,RLMs,8,openai/gpt-5-mini,0,1054ukow,stoic-night-8,2026-04-19T12:12:29Z,4,4,0.1503263,0.037581575
RLMs-Task8,RLMs,8,openai/gpt-5-mini,0,v8kfv2ky,prime-butterfly-9,2026-04-19T13:24:31Z,4,4,0.11476145,0.028690362500000004
RLMs-Task8,RLMs,8,openai/gpt-5-mini,0,v10c02pi,dainty-energy-10,2026-04-19T13:42:49Z,4,4,0.09459345,0.0236483625
RLMs-Task8,RLMs,8,x-ai/grok-4-fast,0,fwpv0xot,copper-blaze-11,2026-04-20T18:58:44Z,4,4,0.12658704999999998,0.031646762499999995
RLMs-Task8,RLMs,8,x-ai/grok-4-fast,0,owh816nb,floral-sea-12,2026-04-20T19:20:30Z,4,4,0.1040578,0.02601445
RLMs-Task8,RLMs,8,x-ai/grok-4-fast,0,d505m2iq,zany-dawn-13,2026-04-20T19:35:26Z,4,4,0.12454615,0.0311365375
RLMs-Task8,RLMs,8,x-ai/grok-4-fast,0,7xafgmlr,serene-resonance-14,2026-04-20T22:33:29Z,4,4,0.08125160000000001,0.0203129
RLMs-Task8,RLMs,8,x-ai/grok-4-fast,0,rt4333ad,breezy-dust-15,2026-04-20T22:47:41Z,4,4,0.10197394999999998,0.025493487499999995
RLMs-Task9,RLMs,9,openai/gpt-5-mini,0,e0mfn5y4,wild-star-3,2026-04-13T18:10:05Z,5,5,0.11877665,0.02375533
RLMs-Task9,RLMs,9,openai/gpt-5-mini,0,s72yjge5,clean-totem-5,2026-04-13T18:49:46Z,5,5,0.1322478,0.02644956
RLMs-Task9,RLMs,9,openai/gpt-5-mini,0,nebgb5bj,jumping-pond-6,2026-04-13T20:20:29Z,5,5,0.13596284999999997,0.027192569999999992
RLMs-Task9,RLMs,9,openai/gpt-5-mini,0,9uemtq3h,likely-lion-7,2026-04-19T13:24:58Z,5,5,0.20757279999999995,0.04151455999999999
RLMs-Task9,RLMs,9,openai/gpt-5-mini,0,ybgipoyp,floral-totem-8,2026-04-19T13:53:56Z,5,5,0.13487175,0.02697435
RLMs-Task9,RLMs,9,x-ai/grok-4-fast,0,2w2tn0a1,restful-shadow-9,2026-04-20T23:04:54Z,5,5,0.16340490000000002,0.032680980000000005
RLMs-Task9,RLMs,9,x-ai/grok-4-fast,0,lj0bjnza,skilled-field-10,2026-04-20T23:28:44Z,5,5,0.18049285000000004,0.03609857000000001
RLMs-Task9,RLMs,9,x-ai/grok-4-fast,0,n9wgr0k3,radiant-spaceship-12,2026-04-21T00:19:46Z,5,5,0.19355669999999997,0.03871134
RLMs-Task9,RLMs,9,x-ai/grok-4-fast,0,abybeka1,rare-thunder-13,2026-04-21T00:46:13Z,5,5,0.22636924999999997,0.04527384999999999
RLMs-Task9,RLMs,9,x-ai/grok-4-fast,0,0tos4i27,dry-puddle-14,2026-04-21T07:58:50Z,5,5,0.3643824500000001,0.07287649000000002
