project,task_family,task_number,model_name,context_size,sample_id,metric,run_count,sample_avg_over_runs
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,100,3,f1,5,0.5491228070175438
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,100,3,precision,5,0.6333333333333333
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,100,3,recall,5,0.5
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,500,0,f1,5,0.15897435897435896
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,500,0,precision,5,0.4
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,500,0,recall,5,0.1
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,500,1,f1,5,0.0
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,500,1,precision,5,0.0
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,500,1,recall,5,0.0
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,500,2,f1,5,0.0
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,500,2,precision,5,0.0
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,500,2,recall,5,0.0
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,500,3,f1,5,0.1723076923076923
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,500,3,precision,5,0.32
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,500,3,recall,5,0.12
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,0,f1,5,0.7683190883190884
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,0,precision,5,1.0
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,0,recall,5,0.69
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,1,f1,5,0.9502135263110872
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,1,precision,5,0.9904761904761905
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,1,recall,5,0.9142857142857143
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,2,f1,5,0.22632632632632632
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,2,precision,5,0.5106060606060606
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,2,recall,5,0.16
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,3,f1,5,0.01818181818181818
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,3,precision,5,0.2
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,3,recall,5,0.009523809523809523
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,4,f1,5,0.09597069597069596
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,4,precision,5,0.3666666666666667
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,4,recall,5,0.06
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,500,0,f1,5,0.04031956484786674
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,500,0,precision,5,0.6
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,500,0,recall,5,0.021153846153846155
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,500,1,f1,5,0.0
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,500,1,precision,5,0.0
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,500,1,recall,5,0.0
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,500,2,f1,5,0.020689655172413793
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,500,2,precision,5,0.4
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,500,2,recall,5,0.010619469026548672
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,500,3,f1,5,0.0
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,500,3,precision,5,0.0
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,500,3,recall,5,0.0
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,500,4,f1,5,0.00396039603960396
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,500,4,precision,5,0.2
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,500,4,recall,5,0.002
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,100,0,f1,5,0.2835464620630861
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,100,0,precision,5,0.6
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,100,0,recall,5,0.21
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,100,1,f1,5,0.6292637465051257
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,100,1,precision,5,0.8
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,100,1,recall,5,0.5333333333333333
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,100,2,f1,5,0.7863233397807866
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,100,2,precision,5,0.9727272727272728
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,100,2,recall,5,0.6960000000000001
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,100,3,f1,5,0.0951048951048951
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,100,3,precision,5,0.4
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,100,3,recall,5,0.05714285714285714
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,100,4,f1,5,0.0
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,100,4,precision,5,0.0
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,100,4,recall,5,0.0
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,500,0,f1,5,0.0035398230088495583
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,500,0,precision,5,0.02222222222222222
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,500,0,recall,5,0.0019230769230769232
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,500,1,f1,5,0.054423766308506094
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,500,1,precision,5,0.1369788106630212
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,500,1,recall,5,0.04271844660194175
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,500,2,f1,5,0.04307692307692308
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,500,2,precision,5,0.16470588235294117
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,500,2,recall,5,0.024778761061946906
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,500,3,f1,5,0.014613395714313145
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,500,3,precision,5,0.10912698412698413
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,500,3,recall,5,0.00784313725490196
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,500,4,f1,5,0.0
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,500,4,precision,5,0.0
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,500,4,recall,5,0.0
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,100,0,f1,5,0.7089743589743589
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,100,0,precision,5,1.0
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,100,0,recall,5,0.62
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,100,1,f1,5,0.8087912087912088
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,100,1,precision,5,1.0
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,100,1,recall,5,0.79
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,100,2,f1,5,0.256140350877193
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,100,2,precision,5,0.4
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,100,2,recall,5,0.22
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,100,3,f1,5,0.29333333333333333
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,100,3,precision,5,0.375
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,100,3,recall,5,0.2636363636363636
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,100,4,f1,5,0.48043478260869565
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,100,4,precision,5,0.5153846153846153
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,100,4,recall,5,0.47
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,100,5,f1,5,0.8663967611336033
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,100,5,precision,5,1.0
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,100,5,recall,5,0.8099999999999999
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,500,0,f1,5,0.08251748251748253
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,500,0,precision,5,0.8
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,500,0,recall,5,0.044000000000000004
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,500,1,f1,5,0.023924268502581753
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,500,1,precision,5,0.4
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,500,1,recall,5,0.012345679012345678
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,500,2,f1,5,0.01908424908424908
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,500,2,precision,5,0.6
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,500,2,recall,5,0.009708737864077667
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,500,3,f1,5,0.0
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,500,3,precision,5,0.0
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,500,3,recall,5,0.0
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,500,4,f1,5,0.0
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,500,4,precision,5,0.0
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,500,4,recall,5,0.0
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,500,5,f1,5,0.009816320385426078
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,500,5,precision,5,0.3
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,500,5,recall,5,0.005
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,100,0,f1,5,0.8214285714285714
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,100,0,precision,5,1.0
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,100,0,recall,5,0.71
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,100,1,f1,5,0.4856994925960443
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,100,1,precision,5,0.6
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,100,1,recall,5,0.42
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,100,2,f1,5,0.7569950517318939
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,100,2,precision,5,0.8
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,100,2,recall,5,0.72
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,100,3,f1,5,0.4
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,100,3,precision,5,0.4
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,100,3,recall,5,0.4
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,100,4,f1,5,1.0
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,100,4,precision,5,1.0
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,100,4,recall,5,1.0
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,100,5,f1,5,0.733050333535476
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,100,5,precision,5,0.6812360053739364
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,100,5,recall,5,0.98
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,500,0,f1,5,0.3288690476190476
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,500,0,precision,5,0.5857142857142857
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,500,0,recall,5,0.232
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,500,1,f1,5,0.21989515072083882
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,500,1,precision,5,0.3389830508474576
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,500,1,recall,5,0.17037037037037037
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,500,2,f1,5,0.23803653254444987
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,500,2,precision,5,0.4826086956521739
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,500,2,recall,5,0.16893203883495145
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,500,3,f1,5,0.050393700787401574
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,500,3,precision,5,0.16842105263157894
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,500,3,recall,5,0.029629629629629627
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,500,4,f1,5,0.061016949152542375
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,500,4,precision,5,0.2
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,500,4,recall,5,0.036
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,500,5,f1,5,0.14463633933561762
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,500,5,precision,5,0.625
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,500,5,recall,5,0.08499999999999999
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,100,0,f1,5,0.4341291866028708
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,100,0,precision,5,0.9318181818181819
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,100,0,recall,5,0.3333333333333333
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,100,1,f1,5,0.027586206896551717
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,100,1,precision,5,0.4
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,100,1,recall,5,0.014285714285714285
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,100,2,f1,5,0.3036024844720497
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,100,2,precision,5,0.6
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,100,2,recall,5,0.23
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,100,3,f1,5,0.18378378378378374
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,100,3,precision,5,0.2
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,100,3,recall,5,0.16999999999999998
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,500,0,f1,5,0.07652534388543433
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,500,0,precision,5,0.5377777777777778
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,500,0,recall,5,0.04144144144144144
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,500,1,f1,5,0.005673758865248227
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,500,1,precision,5,0.4
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,500,1,recall,5,0.002857142857142857
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,500,2,f1,5,0.0
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,500,2,precision,5,0.0
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,500,2,recall,5,0.0
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,500,3,f1,5,0.033692916217188056
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,500,3,precision,5,0.4
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,500,3,recall,5,0.017821782178217824
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,100,0,f1,5,0.6373411534701857
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,100,0,precision,5,0.9666666666666667
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,100,0,recall,5,0.47619047619047616
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,100,1,f1,5,0.1945945945945946
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,100,1,precision,5,0.4
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,100,1,recall,5,0.1285714285714286
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,100,2,f1,5,0.32941176470588235
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,100,2,precision,5,0.4
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,100,2,recall,5,0.27999999999999997
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,100,3,f1,5,0.18378378378378374
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,100,3,precision,5,0.2
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,100,3,recall,5,0.16999999999999998
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,500,0,f1,5,0.013676212741087084
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,500,0,precision,5,0.13714285714285715
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,500,0,recall,5,0.007207207207207206
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,500,1,f1,5,0.008314444176513142
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,500,1,precision,5,0.14666666666666667
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,500,1,recall,5,0.004285714285714286
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,500,2,f1,5,0.0
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,500,2,precision,5,0.0
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,500,2,recall,5,0.0
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,500,3,f1,5,0.0628099173553719
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,500,3,precision,5,0.19
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,500,3,recall,5,0.03762376237623762
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,100,0,f1,5,0.6584573307583903
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,100,0,precision,5,0.8330687830687831
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,100,0,recall,5,0.6909090909090909
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,100,1,f1,5,0.0
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,100,1,precision,5,0.0
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,100,1,recall,5,0.0
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,100,2,f1,5,0.3190045248868778
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,100,2,precision,5,0.7277777777777777
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,100,2,recall,5,0.275
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,100,3,f1,5,0.41131741821396994
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,100,3,precision,5,0.6
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,100,3,recall,5,0.33999999999999997
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,100,4,f1,5,0.0923076923076923
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,100,4,precision,5,0.2
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,100,4,recall,5,0.06
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,500,0,f1,4,0.027952480782669462
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,500,0,precision,4,0.8333333333333333
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,500,0,recall,4,0.014285714285714287
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,500,1,f1,4,0.0
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,500,1,precision,4,0.0
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,500,1,recall,4,0.0
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,500,2,f1,4,0.004504504504504504
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,500,2,precision,4,0.25
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,500,2,recall,4,0.0022727272727272726
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,500,3,f1,4,0.05651812479532459
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,500,3,precision,4,0.75
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,500,3,recall,4,0.029411764705882353
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,500,4,f1,4,0.0
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,500,4,precision,4,0.0
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,500,4,recall,4,0.0
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,100,0,f1,5,0.5390851613612623
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,100,0,precision,5,0.5584761904761905
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,100,0,recall,5,0.5272727272727273
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,100,1,f1,5,0.03636363636363637
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,100,1,precision,5,0.2
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,100,1,recall,5,0.02
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,100,2,f1,5,0.25358090185676396
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,100,2,precision,5,0.6
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,100,2,recall,5,0.18333333333333335
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,100,3,f1,5,0.0
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,100,3,precision,5,0.0
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,100,3,recall,5,0.0
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,100,4,f1,5,0.4333333333333333
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,100,4,precision,5,0.6
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,100,4,recall,5,0.33999999999999997
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,500,0,f1,5,0.018088382107073697
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,500,0,precision,5,0.2238095238095238
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,500,0,recall,5,0.009523809523809525
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,500,1,f1,5,0.13333333333333333
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,500,1,precision,5,0.2
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,500,1,recall,5,0.1
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,500,2,f1,5,0.04521739130434783
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,500,2,precision,5,0.52
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,500,2,recall,5,0.023636363636363636
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,500,3,f1,5,0.06456692913385827
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,500,3,precision,5,0.04039408866995074
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,500,3,recall,5,0.1607843137254902
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,500,4,f1,5,0.0
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,500,4,precision,5,0.0
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,500,4,recall,5,0.0
RLMs-Task10,RLMs,10,openai/gpt-5-mini,0,0,f1,5,0.6444444444444445
RLMs-Task10,RLMs,10,openai/gpt-5-mini,0,0,precision,5,0.5076923076923077
RLMs-Task10,RLMs,10,openai/gpt-5-mini,0,0,recall,5,1.0
RLMs-Task10,RLMs,10,openai/gpt-5-mini,0,1,f1,5,1.0
RLMs-Task10,RLMs,10,openai/gpt-5-mini,0,1,precision,5,1.0
RLMs-Task10,RLMs,10,openai/gpt-5-mini,0,1,recall,5,1.0
RLMs-Task10,RLMs,10,openai/gpt-5-mini,0,2,f1,5,0.015829979369841797
RLMs-Task10,RLMs,10,openai/gpt-5-mini,0,2,precision,5,0.008100885764188591
RLMs-Task10,RLMs,10,openai/gpt-5-mini,0,2,recall,5,0.64
RLMs-Task10,RLMs,10,openai/gpt-5-mini,0,3,f1,5,0.002425059453018636
RLMs-Task10,RLMs,10,openai/gpt-5-mini,0,3,precision,5,0.001216264612347776
RLMs-Task10,RLMs,10,openai/gpt-5-mini,0,3,recall,5,0.4
RLMs-Task10,RLMs,10,x-ai/grok-4-fast,0,0,f1,5,0.8222222222222222
RLMs-Task10,RLMs,10,x-ai/grok-4-fast,0,0,precision,5,0.7538461538461538
